User,Location,Num_Repos,Num_Stars,Num_Followers,Num_Following
3rf, New York City ,27,40,346,0
aaroey,Unknown,2,89,203,26
aarongable, San Francisco ,17,0,661,0
aaronj1335," Austin, Texas ",104,104,407,23
aarontp,Unknown,10,98,200,0
aarossig," Mountain View, CA ",10,8,523,4
aawc," Bay Area, CA ",47,14,38,4
abahgat," Cambridge, MA ",27,96,631,23
abakalov,Unknown,1,0,214,0
abarth," San Francisco, CA ",40,12,716,0
abbot," London, UK ",18,23,346,0
abbycar," Bothell, WA ",15,0,118,0
abdulla," Sydney, Australia ",1,5,275,0
abehaskins, San Francisco ,42,135,379,7
abgworrall,Unknown,3,1,121,0
abinash-behera," Buffalo, New York ",11,1,118,1
abiyani,Unknown,5,4,249,0
abykov2,Unknown,1,0,14,0
acdvorak," Mountain View, CA ",22,12,383,0
achew22,Unknown,66,53,160,21
achille,Unknown,18,11,47,0
aclements,Unknown,31,4,819,7
acmcarther,Unknown,67,38,175,18
acornwall, United States ,9,57,155,5
acozzette, San Bruno ,5,7,145,1
adamcrume," San Jose, CA ",18,35,195,2
adamgl,Unknown,0,0,74,0
adammck," NYC, USA ",136,158,274,19
adamvduke," Cambridge, MA ",102,180,177,48
adarob, United States ,11,4,620,0
adarshf,Unknown,0,0,49,0
Addison-Huff, United States ,9,4,163,0
adlerj,Unknown,22,48,111,2
adob,Unknown,26,18,254,2
adrianchifor," London, UK ",21,60,32,5
adrifelt,Unknown,8,1,415,0
aeliot," Palo Alto, California, USA ",14,7,88,2
afahim," San Francisco, CA ",24,44,112,18
AgamAgarwal, Hyderabad ,21,27,95,20
agasparovic," Zürich, Switzerland ",0,1,47,0
agau4779, United States ,15,5,26,11
aghassemi, cur: SF - prev: Waterloo/Toronto ,41,24,312,11
agl,Unknown,59,25,924,0
agoode, Pittsburgh ,12,90,138,7
ahbeng, Greater Boston ,25,414,213,29
ahh,Unknown,8,3,38,0
ahillhouse,Unknown,2,1,53,0
ahmetb," Seattle, WA ",112,606,1.5k,25
ahmetkizilay, Brooklyn ,72,432,81,112
aimxhaisse," Dublin, Ireland ",81,133,197,96
Airborn22,Unknown,7,0,6,0
AishSundar, Sunnyvale ,6,6,12,8
aiw-google,Unknown,0,0,10,0
ajcarts," The Dalles, OR ",0,2,5,0
ajinkyakolhe112,Unknown,21,178,27,21
ajklein,Unknown,14,6,249,0
ajpace,Unknown,4,0,0,0
AJubatus," Dublin, Ireland ",13,3,37,5
ak239," San Francisco, USA ",24,2,153,5
akalachman," San Jose, CA ",0,0,157,0
akhilpai,Unknown,5,302,83,17
akirabaruah," Mountain View, CA ",26,94,17,10
alabiaga,Unknown,2,0,163,0
alainjobart, San Jose ,1,4,254,0
alanchiao,Unknown,8,2,14,0
alanorozco," San Francisco, CA ",3,0,75,10
alanrussian,Unknown,19,14,87,10
albertein, San Francisco Bay Area ,28,13,75,11
ale64bit, Canada ,13,19,38,9
aleborba, Brazil ,34,101,294,64
aleksandra-malinowska,Unknown,10,6,51,0
alex-mohr, Seattle ,2,1,188,2
alexcepoi," London, UK ",16,13,39,4
alexcope," Seattle, WA ",5,3,53,0
alexeieleusis," Mountain View, CA ",12,224,69,112
AlexeyKurakin,Unknown,3,1,59,0
alexgorban,Unknown,5,17,165,15
alexpennace," Waltham, Massachusetts ",11,5,133,22
alexwhouse," Boulder, CO ",5,13,97,0
alexwoz,Unknown,0,1,44,0
Alives,Unknown,9,12,90,5
allenktv, United States ,7,5,25,2
allenlavoie,Unknown,8,0,115,0
allevato," Kirkland, WA ",28,3,133,10
alur," Mountain View, CA ",15,11,90,0
alvestrand,Unknown,20,17,48,0
alxhub," San Francisco, CA ",41,1,442,0
amanda-tait," New York, NY ",0,9,12,0
amanda-tarafa, UK ,1,0,25,0
amaurymedeiros," London, UK ",36,4,65,7
amedina, San Francisco ,22,17,68,33
amreddy103,Unknown,1,0,15,0
amwat,Unknown,13,0,6,0
AnashOommen, New York ,2,0,184,0
andlabs, New York ,46,93,353,20
